Division,Rank,Name,Rank Change
Women's Strawweight,11,Loopy Godinez,
Women's Strawweight,12,Gillian Robertson,
Women's Strawweight,13,Angela Hill,
Women's Strawweight,14,Luana Pinheiro,
Women's Strawweight,15,Tecia Pennington,
Women's Flyweight,Champion,Valentina Shevchenko,
Women's Flyweight,1,Alexa Grasso,
Women's Flyweight,2,Manon Fiorot,
Women's Flyweight,3,Erin Blanchfield,
Women's Flyweight,4,Maycee Barber,
Women's Flyweight,5,Natalia Silva,
Women's Flyweight,6,Rose Namajunas,
Women's Flyweight,7,Katlyn Cerminara,
Women's Flyweight,8,Jéssica Andrade,
Women's Flyweight,9,Viviane Araújo,
Women's Flyweight,10,Amanda Ribas,
Women's Flyweight,11,Tracy Cortez,Rank increased by1
Women's Flyweight,12,Karine Silva,Rank decreased by1
Women's Flyweight,13,Jasmine Jasudavicius,
Women's Flyweight,14,Ariane da Silva,
Women's Flyweight,15,Casey O'Neill,
Women's Bantamweight,Champion,Julianna Peña,
Women's Bantamweight,1,Raquel Pennington,
Women's Bantamweight,2,Kayla Harrison,
Women's Bantamweight,3,Ketlen Vieira,
Women's Bantamweight,4,Macy Chiasson,
Women's Bantamweight,4,Norma Dumont,
Women's Bantamweight,6,Mayra Bueno Silva,
Women's Bantamweight,6,Irene Aldana,
Women's Bantamweight,8,Holly Holm,
Women's Bantamweight,9,Karol Rosa,
Women's Bantamweight,10,Yana Santos,
Women's Bantamweight,11,Miesha Tate,
Women's Bantamweight,12,Julia Avila,
Women's Bantamweight,13,Ailin Perez,
Women's Bantamweight,14,Jacqueline Cavalcanti,
Women's Bantamweight,15,Chelsea Chandler,
